Date,Open,High,Low,Close,Vol.,Change %,high_low,high_close,low_close,TR,ATR
"Oct 09, 2020",174.52,174.86,174.49,174.68,492.24K,0.11%,0.37000000000000455,0.3800000000000239,0.010000000000019327,0.3800000000000239,0.9251758793969855
"Oct 12, 2020",174.74,174.87,174.6,174.81,307.19K,0.07%,0.27000000000001023,0.18999999999999773,0.0800000000000125,0.27000000000001023,0.9219000000000007
"Oct 13, 2020",174.88,175.13,174.76,175.06,492.61K,0.14%,0.37000000000000455,0.3199999999999932,0.05000000000001137,0.37000000000000455,0.9191542288557221
"Oct 14, 2020",175.07,175.5,175.04,175.35,546.06K,0.17%,0.46000000000000796,0.4399999999999977,0.020000000000010232,0.46000000000000796,0.9168811881188126
"Oct 15, 2020",175.37,176.28,175.35,175.9,836.38K,0.31%,0.9300000000000068,0.9300000000000068,0.0,0.9300000000000068,0.9169458128078826
"Oct 16, 2020",175.82,176.29,175.77,176.07,478.75K,0.10%,0.5199999999999818,0.38999999999998636,0.12999999999999545,0.5199999999999818,0.9150000000000007
"Oct 19, 2020",176.01,176.17,175.77,176.11,486.45K,0.02%,0.39999999999997726,0.09999999999999432,0.29999999999998295,0.39999999999997726,0.9124878048780494
"Oct 20, 2020",176.1,176.24,175.66,175.81,585.02K,-0.17%,0.5800000000000125,0.12999999999999545,0.45000000000001705,0.5800000000000125,0.9108737864077676
"Oct 21, 2020",175.67,175.86,175.34,175.71,647.92K,-0.06%,0.5200000000000102,0.05000000000001137,0.46999999999999886,0.5200000000000102,0.9089855072463775
"Oct 22, 2020",175.54,175.73,175.17,175.19,613.67K,-0.30%,0.5600000000000023,0.01999999999998181,0.5400000000000205,0.5600000000000023,0.907307692307693
"Oct 23, 2020",175.2,175.52,175.0,175.26,551.14K,0.04%,0.5200000000000102,0.3300000000000125,0.18999999999999773,0.5200000000000102,0.9054545454545462
"Oct 26, 2020",175.5,175.73,175.1,175.3,573.12K,0.02%,0.6299999999999955,0.46999999999999886,0.1599999999999966,0.6299999999999955,0.9041428571428578
"Oct 27, 2020",175.45,176.01,175.27,175.94,590.38K,0.37%,0.7399999999999807,0.7099999999999795,0.030000000000001137,0.7399999999999807,0.9033649289099532
"Oct 28, 2020",176.08,176.43,175.95,176.07,793.21K,0.07%,0.4800000000000182,0.4900000000000091,0.009999999999990905,0.4900000000000091,0.9014150943396233
"Oct 29, 2020",176.03,176.44,175.92,176.31,698.75K,0.14%,0.5200000000000102,0.37000000000000455,0.15000000000000568,0.5200000000000102,0.8996244131455406
"Oct 30, 2020",176.18,176.38,175.9,176.15,683.41K,-0.09%,0.47999999999998977,0.06999999999999318,0.4099999999999966,0.47999999999998977,0.8976635514018698
"Nov 02, 2020",176.25,176.36,175.9,176.24,530.00K,0.05%,0.46000000000000796,0.21000000000000796,0.25,0.46000000000000796,0.8956279069767449
"Nov 03, 2020",176.29,176.37,175.82,176.02,584.73K,-0.12%,0.5500000000000114,0.12999999999999545,0.4200000000000159,0.5500000000000114,0.8940277777777785
"Nov 04, 2020",175.71,176.83,175.53,176.4,787.73K,0.22%,1.3000000000000114,0.8100000000000023,0.4900000000000091,1.3000000000000114,0.8958986175115216
"Nov 05, 2020",176.52,176.65,176.09,176.33,616.56K,-0.04%,0.5600000000000023,0.25,0.3100000000000023,0.5600000000000023,0.8943577981651384
"Nov 06, 2020",176.42,176.49,175.86,176.03,591.31K,-0.17%,0.6299999999999955,0.1599999999999966,0.46999999999999886,0.6299999999999955,0.8931506849315076
"Nov 09, 2020",176.09,176.46,174.26,174.36,1.19M,-0.95%,2.200000000000017,0.4300000000000068,1.7700000000000102,2.200000000000017,0.8990909090909099
"Nov 10, 2020",174.54,174.63,173.92,174.02,994.34K,-0.19%,0.710000000000008,0.2699999999999818,0.44000000000002615,0.710000000000008,0.8982352941176479
"Nov 11, 2020",174.01,174.5,173.66,174.3,653.88K,0.16%,0.8400000000000034,0.47999999999998977,0.36000000000001364,0.8400000000000034,0.8979729729729738
"Nov 12, 2020",174.42,174.97,174.26,174.74,665.82K,0.25%,0.710000000000008,0.6699999999999875,0.040000000000020464,0.710000000000008,0.8971300448430503
"Nov 13, 2020",174.91,175.17,174.78,174.94,512.60K,0.11%,0.38999999999998636,0.4299999999999784,0.03999999999999204,0.4299999999999784,0.8950446428571437
"Nov 16, 2020",174.94,175.29,174.45,174.93,675.21K,-0.01%,0.8400000000000034,0.3499999999999943,0.4900000000000091,0.8400000000000034,0.8948000000000008
"Nov 17, 2020",174.94,175.27,174.85,175.18,526.43K,0.14%,0.4200000000000159,0.3400000000000034,0.0800000000000125,0.4200000000000159,0.8926991150442487
"Nov 18, 2020",175.28,175.46,174.91,175.12,526.04K,-0.03%,0.5500000000000114,0.28000000000000114,0.27000000000001023,0.5500000000000114,0.8911894273127763
"Nov 19, 2020",175.2,175.41,175.1,175.33,521.65K,0.12%,0.3100000000000023,0.28999999999999204,0.020000000000010232,0.3100000000000023,0.888640350877194
"Nov 20, 2020",175.45,175.73,175.25,175.53,512.29K,0.11%,0.47999999999998977,0.39999999999997726,0.0800000000000125,0.47999999999998977,0.8868558951965074
"Nov 23, 2020",175.7,175.71,175.26,175.41,552.78K,-0.07%,0.45000000000001705,0.18000000000000682,0.27000000000001023,0.45000000000001705,0.8849565217391314
"Nov 24, 2020",175.37,175.47,175.12,175.26,520.86K,-0.09%,0.3499999999999943,0.060000000000002274,0.28999999999999204,0.3499999999999943,0.8826406926406936
"Nov 25, 2020",175.1,175.46,174.96,175.33,507.15K,0.04%,0.5,0.20000000000001705,0.29999999999998295,0.5,0.8809913793103458
"Nov 26, 2020",175.18,175.59,175.16,175.51,333.13K,0.10%,0.4300000000000068,0.2599999999999909,0.17000000000001592,0.4300000000000068,0.8790557939914172
"Nov 27, 2020",175.59,175.65,175.41,175.5,360.72K,-0.01%,0.2400000000000091,0.14000000000001478,0.09999999999999432,0.2400000000000091,0.8763247863247873
"Nov 30, 2020",175.63,175.72,175.21,175.25,744.76K,-0.14%,0.5099999999999909,0.21999999999999886,0.28999999999999204,0.5099999999999909,0.8747659574468094
"Dec 01, 2020",175.32,175.45,174.47,174.56,1.19M,-0.39%,0.9799999999999898,0.19999999999998863,0.7800000000000011,0.9799999999999898,0.8752118644067806
"Dec 02, 2020",174.56,174.69,174.37,174.48,1.14M,-0.05%,0.3199999999999932,0.12999999999999545,0.18999999999999773,0.3199999999999932,0.8728691983122372
"Dec 03, 2020",174.63,175.18,174.56,174.94,1.33M,0.26%,0.6200000000000045,0.700000000000017,0.0800000000000125,0.700000000000017,0.8721428571428581
"Dec 04, 2020",175.15,175.22,174.81,174.82,756.78K,-0.07%,0.4099999999999966,0.28000000000000114,0.12999999999999545,0.4099999999999966,0.8702092050209214
"Dec 07, 2020",175.03,175.51,175.03,175.41,128.89K,0.34%,0.47999999999998977,0.6899999999999977,0.21000000000000796,0.6899999999999977,0.8694583333333342
"Dec 08, 2020",175.37,175.61,175.35,175.43,16.39K,0.01%,0.2600000000000193,0.20000000000001705,0.060000000000002274,0.2600000000000193,0.8669294605809138
"Dec 09, 2020",178.08,178.3,177.91,178.19,418.76K,1.57%,0.3900000000000148,2.8700000000000045,2.4799999999999898,2.8700000000000045,0.8752066115702489
"Dec 10, 2020",178.3,178.55,177.77,178.08,704.19K,-0.06%,0.7800000000000011,0.36000000000001364,0.4199999999999875,0.7800000000000011,0.8748148148148158
"Dec 11, 2020",178.27,178.77,178.17,178.68,561.97K,0.34%,0.6000000000000227,0.6899999999999977,0.08999999999997499,0.6899999999999977,0.8740573770491813
